market_id,market,countryiso3,admin1,admin2,latitude,longitude
1684,Akkar,LBN,Akkar,Akkar,34.53,36.08
1685,Aley,LBN,Mount Lebanon,Aley,33.81,35.6
1686,Baabda,LBN,Mount Lebanon,Baabda,33.83,35.54
1687,Baalbek-El Hermel,LBN,Baalbek-El Hermel,Baalbek,34,36.21
1688,Batroun,LBN,North,El Batroun,34.25,35.67
1689,Beirut,LBN,Beirut,Beirut,33.89,35.5
1690,Bint Jbeil,LBN,El Nabatieh,Bint Jubail,33.12,35.43
1691,Bechare,LBN,North,Bcharre,34.25,36.01
1692,Chouf,LBN,Mount Lebanon,Chouf,33.65,35.59
1693,El Metn,LBN,Mount Lebanon,El Meten,33.92,35.72
1694,Hasbaya,LBN,El Nabatieh,Hasbaiya,33.4,35.69
1695,Hermel,LBN,Baalbek-El Hermel,El Hermel,34.4,36.39
1696,Jbeil,LBN,Mount Lebanon,Jbeil,34.12,35.65
1697,Jezzine,LBN,South,Jezzine,33.54,35.59
1698,Kesrwane,LBN,Mount Lebanon,Kasrouane,33.97,35.61
1699,Koura,LBN,North,El Koura,34.31,35.81
1700,Marjayoun,LBN,El Nabatieh,Marjaayoun,33.36,35.59
1701,Minieh-Dannieh,LBN,North,El Minieh-Danieh,34.38,36.07
1702,El Nabatieh,LBN,El Nabatieh,El Nabatiye,33.38,35.48
1703,Rashaya,LBN,Bekaa,Rachiaya,33.53,35.87
1704,South,LBN,South,Saida,33.56,35.38
1705,North,LBN,North,Tripoli,34.44,35.83
1706,Sour,LBN,South,Sour,33.27,35.2
1707,West Beqaa,LBN,Bekaa,West Bekaa,33.63,35.76
1708,Bekaa,LBN,Bekaa,Zahle,33.85,35.9
1709,Zgharta,LBN,North,Zgharta,34.4,35.9
10076,Mount Lebanon,LBN,Mount Lebanon,Baabda,33.85,35.54
